First Name,Last Name,Gender,DateOfBirth,Email,Phone Number,Address,City,State,Postal Code,Country,LoyaltyProgramID
Richard,Mcmahon,Others,2005-04-05,qdominguez@e,(740)825-8344,5593 Lopez Stream Suite 782 Fernandostad  NJ 43716,Cochranmouth,South Carolina,13556,Indonesia,4
Melissa,Mccann,F,1974-02-17,nicholaswebb@e,-10715,63831 Yates Freeway Suite 507 Port Nataliestad  AK 86474,Port Misty,Maryland,19787,Slovenia,2
Christopher,Maldonado,Others,1981-09-27,zmitchell@e,(521)831-0753,345 Susan Well Apt. 330 Gardnerhaven  SD 88708,Tammyview,Illinois,80993,Tajikistan,3
Joshua,Diaz,Others,2004-06-06,obrienmatthew@e,(935)450-4055,967 Tyler Alley Apt. 100 Meganport  T,North Jeffreyburgh,South Dakota,17622,Denmark,3
Dawn,Moore,M,2019-02-22,ygibson@e,268.406.3148,PSC 7887  Bo,Martinville,Vermont,69460,Micronesia,1
Jennifer,Burton,M,2012-03-16,vanessa90@e,674.386.5619,2845 Smith Land East Reginashire  NJ 79718,South Crystal,Louisiana,97225,Anguilla,5
Jeffrey,Price,F,2008-03-21,hannahmanning@e,3947665880,97118 Martin Drive South Angelaburgh  GA 96453,East Michael,Arkansas,26296,Burundi,2
Emily,Davis,Not Specified,1990-03-17,valentinelori@e,-2696,11998 Watson E,Melissaville,Connecticut,87280,Finland,2
Dawn,Weber,F,2003-05-07,christian03@e,5388862665,047 Taylor Drive Suite 921 New Gregory  T,Potterbury,Maryland,57385,Cambodia,1
James,Mccann,F,2014-08-10,benjamin51@e,-11041,020 Bush Motorway Suite 269 West Jesus  VA 62275,East Dennis,Idaho,90520,Gambia,1
Tracy,Middleton,Others,1979-03-15,tanya40@e,509.820.2253,411 Smith Valleys Rileyfurt  VI 94803,Chandlerchester,Indiana,57746,Colombia,3
